trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
340,False,"{'a': 0.35, 'e': 0.18359922902771786}",30,7,30.986223430957658,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
341,False,"{'a': 0.35, 'e': 0.18268352405273466}",30,17,11.731481128767971,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
342,False,"{'a': 0.35, 'e': 0.1817723861753675}",30,12,25.837501813069693,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
343,False,"{'a': 0.35, 'e': 0.1808657926171221}",30,15,24.46709490648675,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
344,False,"{'a': 0.35, 'e': 0.17996372071311217}",25,16,-2.9541938706784077,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
345,False,"{'a': 0.35, 'e': 0.17906614791149322}",30,1,-7.183384034003753,"{0: 27, 1: 1, 2: 0, 3: 0, 4: 1}",1
346,False,"{'a': 0.35, 'e': 0.1781730517728984}",25,13,-19.79356655377272,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
347,False,"{'a': 0.35, 'e': 0.17728440996987782}",30,12,-32.091625065471966,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 1}",1
348,False,"{'a': 0.35, 'e': 0.17640020028634}",20,8,5.832287428055882,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
349,False,"{'a': 0.35, 'e': 0.17552040061699686}",20,14,0.6278017426549563,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
350,False,"{'a': 0.35, 'e': 0.17464498896681085}",25,8,18.00244153223341,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
351,False,"{'a': 0.35, 'e': 0.17377394345044514}",25,3,39.79327555216011,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
352,False,"{'a': 0.35, 'e': 0.17290724229171636}",20,13,14.716716803953213,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
353,False,"{'a': 0.35, 'e': 0.17204486382305054}",25,16,0.10706622208429595,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
354,False,"{'a': 0.35, 'e': 0.1711867864849409}",20,14,10.974876289864438,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
355,False,"{'a': 0.35, 'e': 0.17033298882540943}",25,17,-27.082181440079292,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
356,False,"{'a': 0.35, 'e': 0.16948344949947006}",20,15,9.710265117240102,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
357,False,"{'a': 0.35, 'e': 0.1686381472685955}",25,20,9.407018290463215,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
358,False,"{'a': 0.35, 'e': 0.16779706100018585}",20,13,17.14412220022752,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
359,False,"{'a': 0.35, 'e': 0.1669601696670407}",20,0,-33.4694691827088,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
360,False,"{'a': 0.35, 'e': 0.16612745234683307}",20,0,-18.951340290510554,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
361,False,"{'a': 0.35, 'e': 0.16529888822158653}",25,18,12.15595261295012,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
362,False,"{'a': 0.35, 'e': 0.1644744565771549}",25,0,36.87948678002463,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
363,False,"{'a': 0.35, 'e': 0.16365413680270405}",20,3,27.63417942696505,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
364,False,"{'a': 0.35, 'e': 0.16283790839019696}",25,5,-8.31926528882732,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
365,False,"{'a': 0.35, 'e': 0.16202575093388075}",20,15,8.152692313655221,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
366,False,"{'a': 0.35, 'e': 0.16121764412977677}",30,18,13.974447477385237,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
367,False,"{'a': 0.35, 'e': 0.16041356777517274}",20,1,17.11492367723487,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
368,False,"{'a': 0.35, 'e': 0.15961350176811803}",30,15,3.5692383021814735,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
369,False,"{'a': 0.35, 'e': 0.15881742610692068}",20,0,31.70764706251115,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
